id,label,timeset,componentnumber,modularity_class,eccentricity,betweenesscentrality,harmonicclosnesscentrality,closnesscentrality,eigencentrality,pageranks
Werner_Buchholz,Werner_Buchholz,,0,10,9.0,0.004139476633049898,0.1815784832451501,0.1675531914893617,0.020098982617197537,0.0028115602529638745
Gerhard_Walter,Gerhard_Walter,,0,10,10.0,0.0,0.15233560090702983,0.14357338195077485,0.007021740890299383,0.001607150731414046
Walter_Brian,Walter_Brian,,0,26,8.0,0.004139476633049898,0.21069916855631213,0.19444444444444445,0.043809835712251576,0.002525859565943189
Erich_Reich,Erich_Reich,,0,26,9.0,0.0,0.17236583522297802,0.16287487073422957,0.01086169967408096,0.0014858591278081486
Wilhelm_Braun,Wilhelm_Braun,,0,18,7.0,0.052550723066839215,0.29272108843537475,0.24667188723570868,0.4794437624451804,0.01291995125615814
Robert_L_Kahn,Robert_L_Kahn,,0,18,8.0,0.0,0.2176492819349964,0.19798868636077938,0.08639988804182533,0.0011967444279135644
David_Lichtenstein,David_Lichtenstein,,0,18,8.0,0.0,0.2176492819349964,0.19798868636077938,0.08639988804182533,0.0011967444279135644
Schiffman,Schiffman,,0,18,8.0,0.0,0.2176492819349964,0.19798868636077938,0.08639988804182533,0.0011967444279135644
Jerry_Lewin,Jerry_Lewin,,0,18,8.0,0.0,0.2176492819349964,0.19798868636077938,0.08639988804182533,0.0011967444279135644
Fred_Veit,Fred_Veit,,0,18,8.0,0.0,0.22816326530612288,0.20335700451904454,0.14537137249862028,0.0020227928835584354
Albert_Schild,Albert_Schild,,0,18,8.0,0.025874796001353218,0.2563681027966748,0.2151639344262295,0.3159821092163285,0.008746444381500778
William_Zeev_Low,William_Zeev_Low,,0,18,8.0,0.008905001464819531,0.2486281179138328,0.21428571428571427,0.2307461447536515,0.0036893724354577794
Ulrich_Goldsmith,Ulrich_Goldsmith,,0,18,8.0,0.0,0.2176492819349964,0.19798868636077938,0.08639988804182533,0.0011967444279135644
Albert_Henry_Wolff,Albert_Henry_Wolff,,0,19,6.0,0.13216678080941655,0.3351322751322748,0.2949438202247191,0.7005047878817467,0.007904797485312257
Harry_Loewy,Harry_Loewy,,0,18,8.0,0.0,0.2176492819349964,0.19798868636077938,0.08639988804182533,0.0011967444279135644
Henry_Bramson,Henry_Bramson,,0,26,9.0,0.0,0.17129377676996757,0.15901060070671377,0.014372016625981667,0.0013641981255799402
Harold_Frye,Harold_Frye,,0,28,10.0,0.004139476633049898,0.18650163769211417,0.16981132075471697,0.029781882535151218,0.0027184727026601093
Otto_Beran,Otto_Beran,,0,28,11.0,0.0,0.15561613871137694,0.14522821576763487,0.007930745794045117,0.0015676668931064986
Fred_Shurman,Fred_Shurman,,0,28,9.0,0.008252587172895657,0.23096119929453332,0.20414776409591703,0.14638902446235227,0.002290926554968181
Joseph_Bachrach,Joseph_Bachrach,,0,17,9.0,0.007631383184082414,0.19317208364827432,0.17422566371681417,0.036313454213581293,0.0034561749638863117
Henry_Knepler,Henry_Knepler,,0,17,8.0,0.014482693351587956,0.23419879062736254,0.20944148936170212,0.09704346186993984,0.003018351813770673
Erich_Salm,Erich_Salm,,0,17,10.0,0.0,0.15935248173343447,0.14844486333647502,0.010776050200868267,0.0013915621972758578
Kurt_Rothschild,Kurt_Rothschild,,0,18,8.0,0.009231522730632883,0.24894935752078703,0.2219873150105708,0.16904998346307265,0.0027248992632544987
Klaus_Achaye,Klaus_Achaye,,0,18,8.0,0.0,0.20856764928193527,0.1889622075584883,0.06194950284992521,0.001172906833905228
Carl_Auberg,Carl_Auberg,,0,18,8.0,0.0,0.20856764928193527,0.1889622075584883,0.06194950284992521,0.001172906833905228
John_E_Bardach,John_E_Bardach,,0,17,9.0,0.011522681355586257,0.23207986898463145,0.20723684210526316,0.09193662913101923,0.004290685761758473
Weinberg,Weinberg,,0,17,10.0,0.0,0.18484001007810533,0.1717557251908397,0.020315922175294935,0.0013240878222409995
Norman_MacKenzie,Norman_MacKenzie,,0,17,10.0,0.0,0.18484001007810533,0.1717557251908397,0.020315922175294935,0.0013240878222409995
Alvin_Belitzer,Alvin_Belitzer,,0,38,8.0,0.028878954521628034,0.25183673469387824,0.22308781869688385,0.2554027539203422,0.004359703017410532
Franz_Kraemer,Franz_Kraemer,,0,38,8.0,0.003777546836672802,0.258427815570673,0.22826086956521738,0.24249119105171577,0.002671744248143901
Freddy_Grant,Freddy_Grant,,0,38,8.0,0.003777546836672802,0.258427815570673,0.22826086956521738,0.24249119105171577,0.002671744248143901
Helmut_Blume,Helmut_Blume,,0,38,7.0,0.06543162685775694,0.31085411942554797,0.2734375,0.5266837652282019,0.004826983663051508
John_Hans_Newmark,John_Hans_Newmark,,0,29,7.0,0.035466166077883755,0.29170068027210905,0.2590460526315789,0.38177643785578524,0.005018641891731176
Frederick_E_Bergmann,Frederick_E_Bergmann,,0,26,7.0,0.09029107266917288,0.2715721844293276,0.2408256880733945,0.19726756998068878,0.007005503357796539
Henry_Theilheimer,Henry_Theilheimer,,0,36,8.0,0.023882990101103636,0.23404383975812632,0.2112676056338028,0.07964795711650266,0.004285213208174005
Bernard_L_Bick,Bernard_L_Bick,,0,26,8.0,0.01513082303591548,0.22378684807256313,0.20270270270270271,0.06487865225094347,0.0045647598883214
G_Weissenberg,G_Weissenberg,,0,26,7.0,0.0,0.25173091458805774,0.23110785033015407,0.13921179828918118,0.002021157810650149
Lee_L_Willcott,Lee_L_Willcott,,0,26,8.0,0.0,0.20858276643990994,0.1942046855733662,0.03938228698287302,0.00126293409475811
Gerald_Steinhart,Gerald_Steinhart,,0,26,9.0,0.0,0.17979465860418237,0.16862955032119914,0.016217149466281555,0.0013823651793719925
Fred_B_Hirschfeld,Fred_B_Hirschfeld,,0,26,9.0,0.0,0.17979465860418237,0.16862955032119914,0.016217149466281555,0.0013823651793719925
Max_Gamper,Max_Gamper,,0,26,8.0,0.009857729772699123,0.21080498866213182,0.1889622075584883,0.06330487997140151,0.003359673107159633
J_Biberfeld,J_Biberfeld,,0,27,8.0,0.01956796387684269,0.25809901738473207,0.22548317823908376,0.2153903374304484,0.006892891369422936
J_Schild,J_Schild,,0,27,9.0,0.0,0.19976316452506965,0.18410286382232613,0.04114899111937091,0.0012492906350954555
